As of 11/24/2020

Symbol, Owned, Shares, Purchase Price, Current Price/Sold Price, Percentage, Purchase Amount, Current/Sold Value, Profit
AIG,  y, 145, 27.53, 41.12, 49.36%, 3991.85, 5962.4, 1970.55
ALL, y, 43, 93.99, 103.45, 10.06%, 4041.57, 4448.35, 406.78
AMG, y, 59, 67.75, 89.99, 32.83%, 3997.25, 5309.41, 1312.16
AMP, y, 27, 150.25, 188.85, 25.69%, 4056.75, 5098.95, 1042.2
ANTM, y, 16, 258.35, 314.58, 21.77%, 4133.6, 5033.28, 899.68
APTV, y, 45, 89.61, 120.61, 34.59%, 4032.45, 5427.45, 1395.0
ATGE, y, 163, 24.49, 28.55, 16.58%, 3991.87, 4653.65, 661.78
BKR, y, 308, 12.80, 20.05, 56.64%, 3942.4, 6175.4, 2233.0
CI, y, 25, 164.75, 211.56, 28.41%, 4118.75, 5289.0, 1170.25
CNC, n, 69, 57.96, 62.60, 8.01%, 3999.24, 4319.4, 320.16
CNS, y, 70, 56.56, 72.62, 28.39%, 3959.2, 5083.4, 1124.2
CXO, y, 93, 43.18, 64.54, 49.47%, 4015.74, 6002.22, 1986.48
DHI, y, 56, 71.25, 76.59, 7.49%, 3990.0, 4289.04, 299.04
DQ, y, 180, 22.34, 42.4, 89.79%, 4021.2, 7632.0, 3610.8
ENIA, y, 621, 6.42, 7.67, 19.47%, 3986.82, 4763.07, 776.25
EV, n, 103, 38.79, 61.75, 59.14%, 3995.37, 6360.25, 2364.88
EVR, y, 63, 63.45, 93.67, 47.63%, 3997.35, 5901.21, 1903.86
FHI, y, 188, 21.25, 28.33, 33.32%, 3995.0, 5326.04, 1331.04
HUM, y, 10, 400.59, 414.02, 3.35%, 4005.9, 4140.2, 134.3
LEN, y, 50, 79.63, 77.45, -2.74%, 3981.5, 3872.5, -109.0
LHX, n, 22, 177.99, 193.80, 8.88%, 3915.78, 4263.6, 347.82
LXFR, y, 313, 12.75, 15.68, 22.98%, 3990.75, 4907.84, 917.09
MOS, y, 223, 17.99, 21.37, 18.79%, 4011.77, 4765.51, 753.74
MRK, y, 50, 80.54, 80.6, 0.07%, 4027.0, 4030.0, 3.0
MXL, y, 172, 23.25, 30.08, 29.38%, 3999.0, 5173.76, 1174.76
NEM, y, 63, 63.62, 56.83, -10.67%, 4008.06, 3580.29, -427.77
NVO, y, 58, 68.43, 66.06, -3.46%, 3968.94, 3831.48, -137.46
NVR, y, 1, 3923.20, 4163.12, 6.12%, 3923.2, 4163.12, 239.92
OC, y, 58, 69.10, 74.86, 8.34%, 4007.8, 4341.88, 334.08
PE, y, 413, 9.58, 13.71, 43.11%, 3956.54, 5662.23, 1705.69
PFE, n, 110, 36.43, 36.76, 0.91%, 4007.3, 4043.6, 36.3
PHM, y, 90, 45.00, 44.44, -1.24%, 4050.0, 3999.6, -50.4
RHI, y, 77, 51.78, 66.33, 28.1%, 3987.06, 5107.41, 1120.35
SNX, y, 31, 132.87, 157.97, 18.89%, 4118.97, 4897.07, 778.1
SPXC, y, 88, 45.62, 52.56, 15.21%, 4014.56, 4625.28, 610.72
SQM, n, 125, 32.06, 45.03, 40.46%, 4007.5, 5628.75, 1621.25
TSN, y, 68, 59.13, 64.28, 8.71%, 4020.84, 4371.04, 350.2
UNH, y, 13, 304.02, 337.59, 11.04%, 3952.26, 4388.67, 436.41
Total Purchase Value = 132295.95
Total Current Value = 166943.16
Total Profit = 34647.21
Percentage Change = 26.19%
